fold,rat,frame,image_miou,iou_background,iou_head,iou_body,iou_tail,csv_path
3,Rat18,93,0.7367441413316761,0.9857014634146342,0.7213032581453634,0.9367211049624331,0.3032507388042737,data_full\Rat18\CSV\Thermal_93_CSV.csv
1,Rat16,118,0.7370569678967541,0.9956044728883888,0.9261480787253983,0.9591970325114554,0.0672782874617737,data_full\Rat16\CSV\Thermal_118_CSV.csv
1,Rat25,100,0.7373370590337851,0.9830972353387775,0.8537693006357856,0.9044368600682594,0.20804484009231783,data_full\Rat25\CSV\Thermal_100_CSV.csv
4,Rat23,53,0.7393469914511558,0.979186189889026,0.8822495606326889,0.9645701730293875,0.13138204225352113,data_full\Rat23\CSV\Thermal_53_CSV.csv
3,Rat22,143,0.7396414996248651,0.9916641953429542,0.9378765060240963,0.938770590598634,0.0902547065337763,data_full\Rat22\CSV\Thermal_143_CSV.csv
4,Rat19,84,0.74039595487909,0.9860106862320743,0.917333108847546,0.8147747518452533,0.24346527259148618,data_full\Rat19\CSV\Thermal_84_CSV.csv
1,Rat25,99,0.7407264450933205,0.97789590424108,0.8937455937153792,0.9665406272952314,0.12472365512159175,data_full\Rat25\CSV\Thermal_99_CSV.csv
4,Rat19,83,0.7413302018085538,0.9859020203492174,0.9366190609539812,0.9232717472481086,0.11952797868290826,data_full\Rat19\CSV\Thermal_83_CSV.csv
3,Rat22,149,0.7418010558356708,0.9857672592431017,0.79981220657277,0.9458222883910091,0.23580246913580247,data_full\Rat22\CSV\Thermal_149_CSV.csv
2,Rat2,32,0.7432955175230386,0.9838004194042403,0.8699831533049251,0.9416964525923364,0.17770204479065238,data_full\Rat2\CSV\Thermal_32_CSV.csv
4,Rat19,12,0.7445167563240906,0.9868319416022053,0.9132151801194375,0.9313832584860622,0.14663664508865748,data_full\Rat19\CSV\Thermal_12_CSV.csv
5,Rat20,89,0.745682815325482,0.9842508269460415,0.9221617142180656,0.9440554777622191,0.1322632423756019,data_full\Rat20\CSV\Thermal_89_CSV.csv
3,Rat18,16,0.7464542588470846,0.9774262893770143,0.7993070362473348,0.8642561235570929,0.3448275862068966,data_full\Rat18\CSV\Thermal_16_CSV.csv
5,Rat21,31,0.749238418803654,0.9769565095252045,0.9082595654400468,0.9615663365031955,0.1501712637461691,data_full\Rat21\CSV\Thermal_31_CSV.csv
3,Rat1,43,0.7494847652718521,0.9883684484261067,0.8404287901990811,0.9099891027969488,0.259152719665272,data_full\Rat1\CSV\Thermal_43_CSV.csv
4,Rat4,39,0.7497196827095791,0.9898996770474547,0.4791429222703442,0.8545783995617546,0.6752577319587629,data_full\Rat4\CSV\Thermal_39_CSV.csv
4,Rat23,29,0.7508551426526564,0.9846118475914366,0.8379297317718172,0.9621289912473717,0.21875,data_full\Rat23\CSV\Thermal_29_CSV.csv
2,Rat17,97,0.7516034850376829,0.9647924269193084,0.6867444326617179,0.8351385184782018,0.5197385620915033,data_full\Rat17\CSV\Thermal_97_CSV.csv
1,Rat25,102,0.7526450551425037,0.9858006619860331,0.9407962593687684,0.9641498172051033,0.11983348201011002,data_full\Rat25\CSV\Thermal_102_CSV.csv
4,Rat19,15,0.7542801426951137,0.9937612901346076,0.7127202225406727,0.8245447412974357,0.4860943168077388,data_full\Rat19\CSV\Thermal_15_CSV.csv
1,Rat13,1,0.7543192815443126,0.9937065500760374,0.8903061224489796,0.9207149906788025,0.21254946297343133,data_full\Rat13\CSV\Thermal_1_CSV.csv
4,Rat23,68,0.7549799304884953,0.9849710628387311,0.9491680559641724,0.9483195439610467,0.13746105919003115,data_full\Rat23\CSV\Thermal_68_CSV.csv
1,Rat10,11,0.7555370274136128,0.986146986051823,0.7675090252707581,0.7309920983318701,0.5375,data_full\Rat10\CSV\Thermal_11_CSV.csv
1,Rat3,8,0.756969315936535,0.9880447443025735,0.8715806715806715,0.9204439942601502,0.24780785360274496,data_full\Rat3\CSV\Thermal_8_CSV.csv
5,Rat20,87,0.7572348281594264,0.986751221876641,0.9088417975886006,0.9563128003494976,0.17703349282296652,data_full\Rat20\CSV\Thermal_87_CSV.csv
1,Rat16,20,0.758455909621219,0.983097751886921,0.9449158636559758,0.9867011968922796,0.11910882604970009,data_full\Rat16\CSV\Thermal_20_CSV.csv
1,Rat25,101,0.759511424514415,0.987231807951988,0.9446695542825206,0.9465301478953356,0.15961418792781581,data_full\Rat25\CSV\Thermal_101_CSV.csv
5,Rat6,3,0.7598646169831073,0.9896843556924724,0.8721560130010835,0.9362289731358273,0.24138912610304583,data_full\Rat6\CSV\Thermal_3_CSV.csv
